,t,condition,cR,c1,c2,c3,c4,rR,r1,r2,r3,r4,A,N,G
56,14,(HLH),1029,3,1,0,1,0.99516441,0.002901354,0.000967118,0,0.000967118,1,0.005,0.5
55,14,(LLL),1204,57,114,15,0,0.86618705,0.041007194,0.082014388,0.010791367,0,0.1,0.005,0.005
54,14,(HLL),1056,15,57,28,27,0.892645816,0.012679628,0.048182587,0.023668639,0.022823331,1,0.005,0.005
53,14,(L__),731,115,307,43,1,0.6106934,0.096073517,0.25647452,0.035923141,0.000835422,0.1,0,0
52,14,(H__),535,11,55,355,323,0.418295543,0.008600469,0.043002346,0.277560594,0.252541048,1,0,0
51,14,(L_H),1644,11,4,1,2,0.989169675,0.006618532,0.002406739,0.000601685,0.001203369,0.1,0,0.5
50,14,(H_H),1340,3,0,0,0,0.997766195,0.002233805,0,0,0,1,0,0.5
49,14,(L_M),738,111,151,3,0,0.735792622,0.110667996,0.150548355,0.002991027,0,0.1,0,0.05
48,14,(H_M),1311,4,10,3,8,0.981287425,0.002994012,0.00748503,0.002245509,0.005988024,1,0,0.05
58,14,(HHL),1165,2,6,7,9,0.979814971,0.001682086,0.005046257,0.0058873,0.007569386,1,0.5,0.005
86,17,(HMM),946,2,17,12,2,0.966292135,0.002042901,0.017364658,0.012257406,0.002042901,1,0.05,0.05
87,17,(LMM),1056,49,83,18,0,0.875621891,0.040630182,0.068822554,0.014925373,0,0.1,0.05,0.05
88,17,(HL_),220,0,59,392,259,0.23655914,0,0.06344086,0.421505376,0.278494624,1,0.005,0
89,17,(LL_),422,191,381,64,2,0.398113208,0.180188679,0.359433962,0.060377358,0.001886792,0.1,0.005,0
85,17,(LHH),1012,0,3,12,6,0.979670862,0,0.002904163,0.011616651,0.005808325,0.1,0.5,0.5
91,17,(LM_),330,69,365,259,18,0.317002882,0.066282421,0.3506244,0.248799232,0.017291066,0.1,0.05,0
92,17,(HH_),1275,0,3,12,13,0.978511128,0,0.002302379,0.009209517,0.009976976,1,0.5,0
93,17,(LH_),1048,5,3,12,7,0.974883721,0.004651163,0.002790698,0.011162791,0.006511628,0.1,0.5,0
94,17,(H_L),536,8,58,321,193,0.480286738,0.007168459,0.051971326,0.287634409,0.172939068,1,0,0.005
90,17,(HM_),496,6,62,317,155,0.478764479,0.005791506,0.05984556,0.305984556,0.1496139,1,0.05,0
84,17,(HHH),642,2,3,0,1,0.990740741,0.00308642,0.00462963,0,0.00154321,1,0.5,0.5
95,17,(L_L),370,168,401,63,0,0.369261477,0.167664671,0.400199601,0.062874251,0,0.1,0,0.005
82,17,(HHL),842,0,2,8,10,0.976798144,0,0.002320186,0.009280742,0.011600928,1,0.5,0.005
72,17,(H_M),1151,4,21,24,19,0.944216571,0.003281378,0.017227235,0.019688269,0.015586546,1,0,0.05
73,17,(L_M),546,355,308,6,0,0.449382716,0.29218107,0.253497942,0.004938272,0,0.1,0,0.05
74,17,(H_H),1050,3,2,0,0,0.995260664,0.002843602,0.001895735,0,0,1,0,0.5
75,17,(L_H),717,8,4,0,0,0.983539095,0.010973937,0.005486968,0,0,0.1,0,0.5
76,17,(H__),154,7,51,375,334,0.167209555,0.007600434,0.055374593,0.407166124,0.362649294,1,0,0
83,17,(LHL),1082,1,0,6,6,0.988127854,0.000913242,0,0.005479452,0.005479452,0.1,0.5,0.005
78,17,(HLL),558,14,63,63,41,0.755074425,0.01894452,0.085250338,0.085250338,0.055480379,1,0.005,0.005
79,17,(LLL),449,142,288,27,1,0.495038589,0.156560088,0.31753032,0.029768467,0.001102536,0.1,0.005,0.005
80,17,(HLH),409,0,0,0,0,1,0,0,0,0,1,0.005,0.5
81,17,(LLH),895,8,6,1,0,0.983516484,0.008791209,0.006593407,0.001098901,0,0.1,0.005,0.5
